bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-0.5,0,64165,0.197297,-0.905747,-0.142985,0.0817818,0.0514043,-0.0627351,0.101482,0.105214,-0.111563,0.0124245,0.0134154,0.0392372
0,0.5,14581,0.19772,0.598127,0.216056,-0.0188619,-0.226379,0.0537439,-0.00409181,-0.103052,-0.00971506,-0.0495492,-0.0195458,-0.0547271
0.5,1,9420,0.260111,0.671928,0.210685,0.0624932,-0.151528,-0.116914,-0.0257877,-0.12409,0.0506186,0.00398027,0.0291967,-0.0716804
1,1.5,8277,0.168353,0.819052,0.186286,0.00321789,-0.102177,-0.101014,-0.0077962,-0.0906101,0.0668444,0.0328892,0.0183497,-0.0744035
1.5,2,7439,-0.117882,0.763572,0.18338,-0.0785734,-0.0061176,-0.0139401,-0.0872054,-0.126513,0.126853,-0.00152366,0.0267459,-0.0551019
2,2.5,6903,-0.436114,0.859025,0.0864853,-0.0193122,-0.0070969,0.130493,-0.13532,-0.0891918,0.159005,-0.0333081,0.0201846,-0.0593667
2.5,3,5587,-0.640142,1.01289,0.111917,-0.149872,0.0535145,0.111209,-0.183758,-0.0957424,0.170504,-0.0202497,-0.0210753,0.00191259
3,3.5,4948,-0.65055,1.11396,0.0736052,-0.193961,0.0846398,0.121522,-0.216691,-0.0874519,0.176324,-0.0131345,-0.0450105,0.000761775
3.5,4,3737,-0.630344,1.16365,0.0456798,-0.21444,0.16203,0.167306,-0.235745,-0.0629483,0.17744,-0.0255251,-0.074781,-0.0253924
4,4.5,2721,-0.587594,1.16265,0.000519708,-0.227619,0.126441,0.241721,-0.226448,-0.0669405,0.191716,-0.026367,-0.0882511,0.0430357
4.5,5,1970,-0.958733,1.24616,-0.0650592,-0.281724,0.117301,0.307122,-0.229686,-0.0581203,0.202911,-0.00501364,-0.114138,0.0443742
5,5.5,1426,-0.858905,1.35349,-0.109503,-0.373194,0.114186,0.415052,-0.19577,-0.0840395,0.242823,-0.00398039,-0.0675681,0.114524
5.5,6,888,-1.20992,1.41811,-0.218113,-0.312385,0.0799344,0.474124,-0.131263,-0.0476434,0.26493,0.0990917,-0.06926,0.205848
6,6.5,325,-0.987743,0.611016,-0.183115,-0.348229,0.183532,0.409786,-0.145198,-0.110179,0.297327,0.157544,-0.125549,-0.0177387
6.5,7,231,-0.827904,0.132706,0.0520759,-0.348403,0.39748,0.279849,-0.25665,-0.143398,0.320991,0.179907,-0.132383,-0.223661
7,7.5,143,-0.439139,0.651111,-0.334945,-0.365536,0.455818,0.296084,-0.199338,-0.151634,0.263525,0.172043,-0.165514,-0.158594
7.5,8,43,-0.355399,0.758305,-0.484742,-0.443252,0.717856,0.149734,0.0336261,-0.246861,0.255674,0.145237,0.0696831,-0.104502
